SAMPLE,IMAGES,SAMPLING_TIME,SAMPLING_DAY_REFERENCE,MOUSE,TREATMENT,CALIBRATION,REFERENCE,CALIBRATION_FILENAME,REFERENCE_FOLDER,SPC,DIMENSION,ZSLICE,PROBEDESIGN,DESIGN_ID,SIZELIMIT,MARKER_X,MARKER_Y
.,2023_02_17_ecreference_barcode_00001_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2022_12_06_restain/HiPRFISH/reference_training,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2023_02_17_ecreference_barcode_00001_fov_02,0,0,0,0,F,T,0,../../../../outputs/fig_5/2022_12_06_restain/HiPRFISH/reference_training,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2023_02_17_ecreference_barcode_00010_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2022_12_06_restain/HiPRFISH/reference_training,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2023_02_17_ecreference_barcode_00011_fov_02,0,0,0,0,F,T,0,../../../../outputs/fig_5/2022_12_06_restain/HiPRFISH/reference_training,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2023_02_17_ecreference_barcode_00100_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2022_12_06_restain/HiPRFISH/reference_training,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2023_02_17_ecreference_barcode_01000_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2022_12_06_restain/HiPRFISH/reference_training,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2023_02_17_ecreference_barcode_01001_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2022_12_06_restain/HiPRFISH/reference_training,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2023_02_17_ecreference_barcode_01001_fov_02,0,0,0,0,F,T,0,../../../../outputs/fig_5/2022_12_06_restain/HiPRFISH/reference_training,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2023_02_17_ecreference_barcode_01011_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2022_12_06_restain/HiPRFISH/reference_training,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
.,2023_02_17_ecreference_barcode_01101_fov_01,0,0,0,0,F,T,0,../../../../outputs/fig_5/2022_12_06_restain/HiPRFISH/reference_training,2000,2,-1,../../../../data/fig_5/HiPRFISH_probe_design_output/welch2016_5b_no_633_channel.csv,welch2016,200,0,0
